cik,company_name,symbol,original_security
0001045609,"Prologis, Inc.",PLD,Prologis
0001497645,"Summit Hotel Properties, Inc.",INN,"Summit Hotel Properties, Inc."
0001005284,UNIVERSAL DISPLAY CORP PA,OLED,Universal Display
0000898174,REINSURANCE GROUP OF AMERICA INC,RGA,Reinsurance Group of America
0000822416,PULTEGROUP INC/MI/,PHM,PulteGroup
0000093389,"STANDARD MOTOR PRODUCTS, INC.",SMP,"Standard Motor Products, Inc."
0001761312,"Palomar Holdings, Inc.",PLMR,"Palomar Holdings, Inc."
0002041385,Ralliant Corp,RAL,Ralliant Corp
0001103982,"Mondelez International, Inc.",MDLZ,Mondelez International
0001867072,"Kyndryl Holdings, Inc.",KD,Kyndryl
0001468328,Addus HomeCare Corp,ADUS,Addus HomeCare Corp.
0001620533,Shake Shack Inc.,SHAK,"Shake Shack, Inc."
0000860546,COPT DEFENSE PROPERTIES,CDP,COPT Defense Properties
0001626115,PJT Partners Inc.,PJT,"PJT Partners, Inc."
0001767042,"Kodiak Gas Services, Inc.",KGS,"Kodiak Gas Services, Inc."
0000039368,FULLER H B CO,FUL,H.B. Fuller Company
0000719955,WILLIAMS SONOMA INC,WSM,"Williams-Sonoma, Inc."
0001424929,FOX FACTORY HOLDING CORP,FOXF,Fox Factory
0000930236,REDWOOD TRUST INC,RWT,"Redwood Trust, Inc."
0001115055,PINNACLE FINANCIAL PARTNERS INC,PNFP,Pinnacle Financial Partners
0001018963,ATI INC,ATI,ATI Inc.
0001674910,VALVOLINE INC,VVV,Valvoline
0001067294,"CRACKER BARREL OLD COUNTRY STORE, INC",CBRL,Cracker Barrel
0001841666,APA Corp,APA,APA Corporation
0001955520,Knife River Corp,KNF,Knife River Corporation
0001099800,Edwards Lifesciences Corp,EW,Edwards Lifesciences
0000352541,ALLIANT ENERGY CORP,LNT,Alliant Energy
0001751788,DOW INC.,DOW,Dow Inc.
0000814547,FAIR ISAAC CORP,FICO,Fair Isaac
0001929561,"RXO, Inc.",RXO,"RXO, Inc."
0000072741,EVERSOURCE ENERGY,ES,Eversource Energy
0001811074,Texas Pacific Land Corp,TPL,Texas Pacific Land Corporation
0000217346,TEXTRON INC,TXT,Textron
0001049502,MKS INC,MKSI,MKS Instruments
0001688568,DXC Technology Co,DXC,DXC Technology
0000927628,CAPITAL ONE FINANCIAL CORP,COF,Capital One
0001578732,"Marcus & Millichap, Inc.",MMI,"Marcus & Millichap, Inc."
0001632127,"Cable One, Inc.",CABO,Cable One
0001996862,Bunge Global SA,BG,Bunge Global
0000073124,NORTHERN TRUST CORP,NTRS,Northern Trust
0001284812,"COHEN & STEERS, INC.",CNS,"Cohen & Steers, Inc."
0001126956,SPIRE INC,SR,Spire
0000097745,THERMO FISHER SCIENTIFIC INC.,TMO,Thermo Fisher Scientific
0000355811,GENTEX CORP,GNTX,Gentex
0001517302,Artisan Partners Asset Management Inc.,APAM,"Artisan Partners Asset Management, Inc."
0000091576,KEYCORP /NEW/,KEY,KeyCorp
0001635088,Roivant Sciences Ltd.,ROIV,Roivant Sciences
0000026324,CURTISS WRIGHT CORP,CW,Curtiss-Wright
0001274173,JANUS HENDERSON GROUP PLC,JHG,Janus Henderson
0001057877,IDACORP INC,IDA,Idacorp
0000078890,BRINKS CO,BCO,Brink's
0001080014,"Innoviva, Inc.",INVA,"Innoviva, Inc."
0001114483,Integer Holdings Corp,ITGR,Integer Holdings Corporation
0000910606,REGENCY CENTERS CORP,REG,Regency Centers
0000849869,SILGAN HOLDINGS INC,SLGN,Silgan Holdings
0000066382,"MILLERKNOLL, INC.",MLKN,"MillerKnoll, Inc."
0000003453,"Matson, Inc.",MATX,"Matson, Inc."
0000070318,TENET HEALTHCARE CORP,THC,Tenet Health
