adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0001493152-24-051101,DepreciationOnRightOfUseAsset,0001493152-24-051101,2023-08-31,4,USD,,,108335.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,Liabilities,us-gaap/2024,2023-08-31,0,USD,,,2843005.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetIncomeLoss,us-gaap/2024,2024-08-31,4,USD,EquityComponents=RetainedEarnings;,,-4102659.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-08-31,4,USD,ProductOrService=SponsorshipRevenue;,,107741.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,EarningsPerShareDiluted,us-gaap/2024,2023-08-31,4,USD,,,-0.45,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,ProceedsFromIssuanceOfPrivatePlacement,us-gaap/2024,2024-08-31,4,USD,,,87369.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2024-08-31,4,USD,EquityComponents=AdditionalPaidInCapital;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-08-31,4,USD,ProductOrService=OtherRevenue;,,320505.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetIncomeLoss,us-gaap/2024,2023-08-31,4,USD,,,-2809037.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,DepreciationAndAmortization,us-gaap/2024,2024-08-31,4,USD,,,838843.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,us-gaap/2024,2024-08-31,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CommonStockSharesIssued,us-gaap/2024,2023-08-31,0,shares,,,6306979.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,us-gaap/2024,2024-08-31,4,USD,,,86976.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetCashProvidedByUsedInOperatingActivities,us-gaap/2024,2023-08-31,4,USD,,,-2116105.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueOther,us-gaap/2024,2024-08-31,4,USD,EquityComponents=WarrantLiability;,,48283.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,InvestmentIncomeInvestmentExpense,us-gaap/2024,2023-08-31,4,USD,,,27143.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,GainLossOnChangeInFairValueOfConversionFeatureLiability,0001493152-24-051101,2024-08-31,4,USD,,,-76543.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AdditionalPaidInCapitalCommonStock,us-gaap/2024,2024-08-31,0,USD,,,2955944.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-08-31,4,USD,ProductOrService=OtherRevenue;,,332448.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,DepreciationOfPropertyAndEquipment,0001493152-24-051101,2024-08-31,4,USD,,,87803.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetIncomeLoss,us-gaap/2024,2024-08-31,4,USD,,,-4102659.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IncreaseDecreaseInDeferredRevenue,us-gaap/2024,2023-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueNewIssues,us-gaap/2024,2024-08-31,4,USD,EquityComponents=AdditionalPaidInCapital;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,InterestPaid,us-gaap/2024,2023-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2022-08-31,0,USD,EquityComponents=AdditionalPaidInCapital;,,2922853.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2023-08-31,4,USD,EquityComponents=AdditionalPaidInCapital;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,FairValueAdjustmentOfWarrants,us-gaap/2024,2024-08-31,4,USD,,,63769.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,InterestExpenseOperating,us-gaap/2024,2024-08-31,4,USD,,,93472.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IncreaseDecreaseInAccountsAndOtherReceivables,us-gaap/2024,2023-08-31,4,USD,,,26242.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,GainLossOnChangeInFairValueOfConversionFeatureLiabilities,0001493152-24-051101,2024-08-31,4,USD,,,76543.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OperatingExpenses,us-gaap/2024,2023-08-31,4,USD,,,5284158.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,PropertyPlantAndEquipmentNet,us-gaap/2024,2023-08-31,0,USD,,,242091.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2024-08-31,0,USD,EquityComponents=AdditionalPaidInCapital;,,2955944.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,GovernmentBasedIncentive,0001493152-24-051101,2023-08-31,4,USD,,,591480.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2022-08-31,0,USD,EquityComponents=CommonStock;,,4903031.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueOther,us-gaap/2024,2023-10-31,0,USD,EquityComponents=WarrantLiability;,,48283.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2024-08-31,4,USD,,,9217.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AssetsCurrent,us-gaap/2024,2023-08-31,0,USD,,,1697503.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,Liabilities,us-gaap/2024,2024-08-31,0,USD,,,2747276.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2023-08-31,4,USD,EquityComponents=CommonStock;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueOther,us-gaap/2024,2024-08-31,4,USD,EquityComponents=AdditionalPaidInCapital;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,Assets,us-gaap/2024,2024-08-31,0,USD,,,4096592.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2024-08-31,0,USD,,,1349316.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OperatingIncomeLoss,us-gaap/2024,2023-08-31,4,USD,,,-2781894.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IncreaseDecreaseInPrepaidExpense,us-gaap/2024,2023-08-31,4,USD,,,-265545.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2023-08-31,0,USD,,,1785933.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CommonStockSharesOutstanding,us-gaap/2024,2024-08-31,0,shares,,,8425353.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2024-08-31,0,USD,EquityComponents=CommonStock;,,8559856.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2024-08-31,0,USD,EquityComponents=RetainedEarnings;,,-9757974.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2023-08-31,0,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-417727.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,ShareBasedCompensation,us-gaap/2024,2024-08-31,4,USD,TitleOfIndividual=ChiefFinancialOfficer;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2023-08-31,0,USD,EquityComponents=RetainedEarnings;,,-5655315.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,SellingGeneralAndAdministrativeExpense,us-gaap/2024,2024-08-31,4,USD,,,2382225.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OperatingIncomeLoss,us-gaap/2024,2024-08-31,4,USD,,,-3824737.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2023-08-31,4,USD,,,-64509.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,us-gaap/2024,2023-08-31,4,USD,,,-64509.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,GainLossOnChangeInFairValueOfWarrantLiability,0001493152-24-051101,2023-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CommonStockValue,us-gaap/2024,2023-08-31,0,USD,,,4903031.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AccretionExpensesNonOperating,0001493152-24-051101,2023-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IntangibleAssetsNetExcludingGoodwill,us-gaap/2024,2023-08-31,0,USD,,,1718954.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetCashProvidedByUsedInInvestingActivities,us-gaap/2024,2023-08-31,4,USD,,,-1362298.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueNewIssues,us-gaap/2024,2024-08-31,4,USD,,,2751937.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap/2024,2024-08-31,0,USD,,,580356.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CommonStockValue,us-gaap/2024,2024-08-31,0,USD,,,8559856.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,FairValueAdjustmentOfWarrants,us-gaap/2024,2023-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,SharesIssuedAgainstEquityPurchaseAgreement,0001493152-24-051101,2024-08-31,4,USD,EquityComponents=AdditionalPaidInCapital;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,LiabilitiesAndStockholdersEquity,us-gaap/2024,2023-08-31,0,USD,,,4628938.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,us-gaap/2024,2023-08-31,4,USD,,,-3129395.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2024,2024-08-31,4,shares,,,7145939.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2024,2023-08-31,4,shares,,,6306979.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,EarningsPerShareDiluted,us-gaap/2024,2024-08-31,4,USD,,,-0.57,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RepaymentsOfDebtAndCapitalLeaseObligations,us-gaap/2024,2024-08-31,4,USD,,,196703.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,Investments,us-gaap/2024,2023-08-31,0,USD,,,10013.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,PrepaidExpensesAndDeposits,0001493152-24-051101,2024-08-31,0,USD,,,157911.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueOther,us-gaap/2024,2024-08-31,4,USD,,,-48283.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OperatingLeaseLiabilityNoncurrent,us-gaap/2024,2023-08-31,0,USD,,,969589.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap/2024,2024-08-31,4,USD,,,-226985.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetIncomeLoss,us-gaap/2024,2023-08-31,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,LiabilitiesCurrent,us-gaap/2024,2023-08-31,0,USD,,,1173789.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2023-08-31,4,USD,,,2502264.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AccretionExpensesNonOperating,0001493152-24-051101,2024-08-31,4,USD,,,223059.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,InvestmentIncomeInvestmentExpense,us-gaap/2024,2024-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OperatingLeaseLiabilityCurrent,us-gaap/2024,2023-08-31,0,USD,,,138372.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,us-gaap/2024,2024-08-31,4,USD,,,519943.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,ComprehensiveIncomeNetOfTax,us-gaap/2024,2024-08-31,4,USD,,,-4093442.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,PaymentsToAcquirePropertyPlantAndEquipment,us-gaap/2024,2023-08-31,4,USD,,,62073.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2023-08-31,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-64509.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2024,2023-08-31,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,ProceedsFromIssuanceOfPrivatePlacement,us-gaap/2024,2023-08-31,4,USD,,,430098.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,Cash,us-gaap/2024,2024-08-31,0,USD,,,580356.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueOther,us-gaap/2024,2024-08-31,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,RepaymentsOfDebtAndCapitalLeaseObligations,us-gaap/2024,2023-08-31,4,USD,,,81090.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,DerivativeLiabilitiesNoncurrent,us-gaap/2024,2023-08-31,0,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,us-gaap/2024,2024-08-31,4,USD,EquityComponents=RetainedEarnings;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,us-gaap/2024,2024-08-31,4,USD,,,465680.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IncreaseDecreaseInOtherDeferredLiability,us-gaap/2024,2024-08-31,4,USD,,,-208376.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,MarketingAndAdvertisingExpense,us-gaap/2024,2024-08-31,4,USD,,,860047.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,us-gaap/2024,2024-08-31,4,USD,EquityComponents=AdditionalPaidInCapital;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,Investments,us-gaap/2024,2024-08-31,0,USD,,,10042.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,IncreaseDecreaseInIncomeTaxesReceivable,us-gaap/2024,2024-08-31,4,USD,,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2024,2023-08-31,0,USD,,,-417727.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap/2024,2023-08-31,4,USD,,,-47079.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap/2024,2024-08-31,0,USD,,,1125477.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,DeferredIncome,us-gaap/2024,2024-08-31,0,USD,,,491251.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,ShareBasedCompensation,us-gaap/2024,2024-08-31,4,USD,EquityComponents=CommonStockWarrant;,,33091.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2023-08-31,4,USD,EquityComponents=RetainedEarnings;,,,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2023-08-31,0,USD,EquityComponents=AdditionalPaidInCapital;,,2955944.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,EarningsPerShareBasic,us-gaap/2024,2024-08-31,4,USD,,,-0.57,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,NetCashProvidedByUsedInFinancingActivities,us-gaap/2024,2023-08-31,4,USD,,,349008.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockIssuedDuringPeriodValueNewIssues,us-gaap/2024,2024-08-31,4,USD,EquityComponents=CommonStock;,,2751937.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,us-gaap/2024,2024-08-31,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,9217.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,PrepaidExpensesAndDeposits,0001493152-24-051101,2023-08-31,0,USD,,,218150.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,StockholdersEquity,us-gaap/2024,2022-08-31,0,USD,,,4626388.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,ProceedsFromConvertibleDebt,us-gaap/2024,2024-08-31,4,USD,,,300000.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
0001493152-24-051101,AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap/2024,2023-08-31,0,USD,,,605319.0,,PINEAPPLE FINANCIAL INC.,10-K,2024-08-31,2024-12-20
